FOLIO,FECHA,HORA,MINUTO,TIPO,VIOLENCIA,LATITUD,LONGITUD,DISTRITO,CUADRANTE,DIA,MES,ESTACION,AÑO
010811D,2015-01-15,99,99,ROBO A CASA HABITACION,NO,28.609857,-106.017059,Morelos,56,15,1,Invierno,2015
59560,2015-01-15,99,99,ROBO A CASA HABITACION,NO,28.621009,-106.040181,Zapata,77,15,1,Invierno,2015
26646SP,2015-01-15,99,99,ROBO A CASA HABITACION,NO,28.643655,-106.098446,Diana,31,15,1,Invierno,2015
63708,2015-01-15,99,99,ROBO A CASA HABITACION,NO,28.70656,-106.151946,Colón,11,15,1,Invierno,2015
68472,2015-01-15,99,99,ROBO A NEGOCIO,NO,28.649048,-106.132849,Diana,29,15,1,Invierno,2015
54465,2015-01-15,99,99,ROBO A CASA HABITACION,NO,28.74421,-106.169205,Colón,6,15,1,Invierno,2015
15600,2015-01-15,99,99,ROBO A NEGOCIO,SI,28.782694,-106.168148,Colón,3,15,1,Invierno,2015
73729,2015-01-15,99,99,ROBO A NEGOCIO,SI,28.648702,-106.06545,Ángel,35,15,1,Invierno,2015
24212SP,2015-01-15,99,99,ROBO A NEGOCIO,SI,28.586201,-106.105793,Zapata,73,15,1,Invierno,2015
81951,2015-01-15,99,99,ROBO A NEGOCIO,SI,28.665538,-106.083263,Villa,24,15,1,Invierno,2015
471809SO,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.635623,-106.049339,Zapata,71,16,1,Invierno,2015
81631,2015-01-16,99,99,ROBO A NEGOCIO,NO,28.66862,-106.084881,Villa,24,16,1,Invierno,2015
76728,2015-01-16,99,99,ROBO A NEGOCIO,SI,28.690005,-106.112297,Villa,20,16,1,Invierno,2015
55153,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.735649,-106.14652,Colón,6,16,1,Invierno,2015
55638,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.71214,-106.08622,Villa,18,16,1,Invierno,2015
471269SO,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.609112,-105.998304,Morelos,57,16,1,Invierno,2015
131799C,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.646428,-106.074564,Villa,25,16,1,Invierno,2015
73656X,2015-01-16,99,99,ROBO A NEGOCIO,NO,28.648064,-106.012127,Morelos,52,16,1,Invierno,2015
65462X,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.646477,-106.084254,Villa,25,16,1,Invierno,2015
74175,2015-01-16,99,99,ROBO DE VEHICULO,SI,28.646964,-106.133829,Diana,30,16,1,Invierno,2015
71520X,2015-01-16,99,99,ROBO A NEGOCIO,SI,28.654871,-105.963569,Morelos,54,16,1,Invierno,2015
76877,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.636504,-106.090924,Villa,27,16,1,Invierno,2015
53829,2015-01-16,99,99,ROBO A CASA HABITACION,NO,28.745546,-106.117934,Colón,9,16,1,Invierno,2015
81479,2015-01-17,99,99,ROBO DE VEHICULO,NO,28.677467,-106.124466,Villa,21,17,1,Invierno,2015
67156XX,2015-01-17,99,99,ROBO A NEGOCIO,NO,28.648475,-106.065581,Ángel,36,17,1,Invierno,2015
73152X,2015-01-17,99,99,ROBO A CASA HABITACION,NO,28.581616,-106.103629,Zapata,78,17,1,Invierno,2015
61262X,2015-01-17,99,99,ROBO A CASA HABITACION,NO,28.665195,-106.134998,Diana,29,17,1,Invierno,2015
243276SO,2015-01-17,99,99,ROBO DE VEHICULO,NO,28.634019,-106.076637,Ángel,38,17,1,Invierno,2015
28871SP,2015-01-17,99,99,ROBO A CASA HABITACION,NO,28.596252,-106.151805,Diana,34,17,1,Invierno,2015
16823SP,2015-01-17,99,99,ROBO A CASA HABITACION,NO,28.729123,-106.11098,Colón,14,17,1,Invierno,2015
010481SP,2015-01-17,99,99,ROBO DE VEHICULO,SI,28.627229,-106.1061,Diana,33,17,1,Invierno,2015
471838SO,2015-01-18,99,99,ROBO A CASA HABITACION,NO,28.654245,-105.969119,Morelos,54,18,1,Invierno,2015
015862SP,2015-01-18,99,99,ROBO A CASA HABITACION,NO,28.62503,-106.097965,Villa,27,18,1,Invierno,2015
61014,2015-01-18,99,99,ROBO A NEGOCIO,NO,28.623378,-106.028943,Zapata,72,18,1,Invierno,2015
77451,2015-01-18,99,99,ROBO A NEGOCIO,SI,28.65751,-106.104934,Villa,25,18,1,Invierno,2015
80751,2015-01-18,99,99,ROBO A NEGOCIO,NO,28.660381,-106.114747,Villa,21,18,1,Invierno,2015
24213SP,2015-01-18,99,99,ROBO A CASA HABITACION,NO,28.586945,-106.117427,Zapata,66,18,1,Invierno,2015
165166C,2015-01-18,99,99,ROBO A NEGOCIO,SI,28.69845,-106.107104,Villa,17,18,1,Invierno,2015
150476C,2015-01-18,99,99,ROBO A NEGOCIO,SI,28.659372,-106.013402,Morelos,46,18,1,Invierno,2015
233007C,2015-01-18,99,99,ROBO A CASA HABITACION,NO,28.635549,-106.064612,Ángel,39,18,1,Invierno,2015
54668,2015-01-18,99,99,ROBO DE VEHICULO,SI,28.712844,-106.135604,Colón,12,18,1,Invierno,2015
80832A,2015-01-18,99,99,ROBO A CASA HABITACION,NO,28.67074,-106.120516,Villa,21,18,1,Invierno,2015
67553X1,2015-01-18,99,99,ROBO A NEGOCIO,SI,28.767495,-106.170222,Colón,3,18,1,Invierno,2015
73711,2015-01-19,99,99,ROBO A NEGOCIO,NO,28.747734,-106.121807,Colón,9,19,1,Invierno,2015
73712,2015-01-19,99,99,ROBO A CASA HABITACION,NO,28.740985,-106.121572,Colón,8,19,1,Invierno,2015
75081,2015-01-19,99,99,ROBO A CASA HABITACION,NO,28.723699,-106.122974,Colón,13,19,1,Invierno,2015
72275,2015-01-19,99,99,ROBO A CASA HABITACION,NO,28.660907,-106.11772,Villa,21,19,1,Invierno,2015
72273,2015-01-19,99,99,ROBO A NEGOCIO,SI,28.656289,-106.115246,Villa,21,19,1,Invierno,2015
73979,2015-01-19,99,99,ROBO A CASA HABITACION,NO,28.594204,-106.007766,Morelos,61,19,1,Invierno,2015
71552X,2015-01-19,99,99,ROBO A NEGOCIO,SI,28.781166,-106.173602,Colón,3,19,1,Invierno,2015
54532,2015-01-19,99,99,ROBO A CASA HABITACION,NO,28.779066,-106.170198,Colón,3,19,1,Invierno,2015
82813,2015-01-19,99,99,ROBO A CASA HABITACION,SI,28.781829,-106.165813,Colón,3,19,1,Invierno,2015
60962,2015-01-19,99,99,ROBO A NEGOCIO,SI,28.712145,-106.091155,Villa,18,19,1,Invierno,2015
60963,2015-01-19,99,99,ROBO A NEGOCIO,SI,28.705182,-106.117156,Villa,17,19,1,Invierno,2015
